name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;567;0;685;3127;1043;3127;1043;0
header;213;213;213;249;1838;249;1838;213
A;1010;276;1010;302;1032;302;1032;276
B;1006;960;1006;987;1026;987;1026;960
A;630;965;630;990;644;990;644;965
C;1003;1683;1003;1712;1023;1712;1023;1683
B;909;1984;909;2000;917;2000;917;1984
A;753;2028;753;2033;758;2033;758;2028
B;908;2121;908;2137;916;2137;916;2121
D;1006;2354;1006;2380;1027;2380;1027;2354
A;713;2396;713;2401;719;2401;719;2396
A;977;2444;977;2460;985;2460;985;2444
A;857;2858;857;2864;862;2864;862;2858
